id,salary_in_usd
0,100035.2209084332
1,142609.15372204967
2,142609.15372204967
3,59969.620429970324
4,28298.693650146946
5,36507.86660223454
6,135541.30804101378
7,51164.41297633946
8,80318.76507381722
9,183235.8096609302
10,1134.8318518791348
11,183787.02188077942
12,88827.55247478373
13,8713.902731480077
14,69796.02469835803
15,45779.77268001065
16,119988.60269592144
17,154521.94810611382
18,57651.84355375543
19,68421.43923556991
20,59553.0985172838
21,76057.32865413837
22,129171.4829550609
23,161805.56834559888
24,-6019.187610059977
25,43698.34178717248
26,103263.5537912976
27,171730.45604371093
28,70126.76429229043
29,144617.79713660292
30,117956.11676730402
31,138196.4851991553
32,109351.67330431193
33,58509.86091327481
34,34130.37571484409
35,50911.90238251537
36,161805.56834559888
37,15786.495361896232
38,60895.37592176907
39,176758.17471425608
40,11194.146197088063
41,23886.0251272507
42,136131.51877537556
43,182888.31782450154
44,114421.41557209007
45,233166.47405323572
46,128411.47995666787
47,60895.37592176907
48,138196.4851991553
49,41126.2005874645
50,138747.69741900638
51,50320.42346793227
52,128063.98812023923
53,133091.70679078437
54,103543.4156792555
55,67438.58577915095
56,161458.07650917023
57,193345.80340716802
58,136937.5040681865
59,155327.93339892477
60,136937.5040681865
61,217866.37584815174
62,155327.93339892477
63,144170.07161813416
64,144170.07161813416
65,149197.7902886793
66,149197.7902886793
67,155327.93339892477
68,125779.6422873959
69,67438.58577915095
70,97413.27256901003
71,170280.53976758197
72,88590.8093105983
73,55719.34180900827
74,75680.81938465685
75,121933.84500999376
76,44000.86423281208
77,78596.44755994156
78,105608.38210303523
79,142465.38226904534
80,390.8173881433904
81,39863.99619778246
82,107749.49003134854
83,195352.32442841493
84,114701.27746004611
85,73568.72888939641
86,73568.72888939641
87,161458.07650917023
88,155327.93339892477
89,101259.00550158322
90,43747.490389106795
91,64417.194060454145
92,109486.51457309909
93,65817.73546753079
94,155327.93339892477
95,162369.56580371037
96,48613.21536487155
97,83220.66919874772
98,47542.234976973385
99,144170.07161813416
100,155327.93339892477
101,136937.5040681865
102,136937.5040681865
103,149197.7902886793
104,161458.07650917023
105,31216.77207001485
106,125779.6422873959
