id,salary_in_usd
0,123244.55192796141
1,137984.7831728626
2,137984.7831728626
3,39930.067846380174
4,34245.75258182548
5,67460.70039625652
6,129556.7777281981
7,47570.967966264114
8,65636.7561384365
9,181587.86162436754
10,61309.68115394749
11,181548.3240338508
12,66536.9153424371
13,14716.300771178678
14,66445.02129138075
15,46008.41734868102
16,119241.84994459711
17,151956.4759591464
18,56662.49083779566
19,68742.11964675412
20,37714.05363736302
21,71407.78954291344
22,134144.81898132525
23,161599.03833440505
24,3370.755521390587
25,6426.942355595529
26,101404.33791171014
27,169610.07003819197
28,77330.57076686807
29,162188.36675036326
30,124566.26600638591
31,134542.74592143297
32,122845.9072763808
33,57601.23389590904
34,23146.74019024521
35,81216.53508247808
36,161599.03833440505
37,29199.723194669932
38,59086.68711242266
39,175315.51823890768
40,25131.576449379325
41,30803.715330395848
42,131712.43978740275
43,180941.89125858806
44,112736.15913210623
45,235106.42995624244
46,126908.17483424768
47,59086.68711242266
48,134542.74592143297
49,8718.993372656405
50,134503.20833091624
51,56796.94035551511
52,126262.20446846634
53,131967.6526691839
54,100391.79527704418
55,65997.09181449562
56,160953.0679686237
57,194873.5704945363
58,135082.65877720155
59,155326.6949489452
60,135082.65877720155
61,220743.97968596034
62,155326.6949489452
63,143994.8737285491
64,143994.8737285491
65,188376.72143347748
66,188376.72143347748
67,155326.6949489452
68,123750.83755680546
69,65997.09181449562
70,141408.92662514
71,169043.17485344782
72,86675.31537254155
73,59371.76326565631
74,134277.48240545392
75,120635.83144878782
76,42528.48642437905
77,77328.91303489171
78,103222.10141107626
79,140018.22196348943
80,7984.585906403139
81,47571.4750023298
82,102360.45575403422
83,200229.41310320422
84,111723.61649744026
85,71623.464834176
86,71623.464834176
87,160953.0679686237
88,155326.6949489452
89,118319.49881763756
90,43343.33075516112
91,68179.24468213134
92,115481.50850680098
93,59776.102290887386
94,155326.6949489452
95,165122.55139593035
96,49423.7153718248
97,82930.21985108778
98,45727.989439267665
99,143994.8737285491
100,155326.6949489452
101,135082.65877720155
102,135082.65877720155
103,188376.72143347748
104,160953.0679686237
105,28314.259401556104
106,123750.83755680546
